prompt_id,version,prompt_text,rank,predicted_word,score
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",1,taste,0.5745
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",2,sweet,0.1137
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",3,good,0.0734
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",4,bitter,0.0405
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",5,it,0.0174
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",6,you,0.0132
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",7,well,0.0128
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",8,me,0.0121
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",9,like,0.0088
sent_1,kazakh,"I tried beshbarmak for the first time, it tasted [MASK].",10,fresh,0.008
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",1,taste,0.7043
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",2,sweet,0.1018
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",3,pasta,0.0321
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",4,it,0.0228
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",5,bitter,0.0199
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",6,good,0.015
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",7,coffee,0.0082
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",8,food,0.006
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",9,me,0.005
sent_1,western,"I tried pasta for the first time, it tasted [MASK].",10,you,0.0037
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",1,important,0.0882
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",2,it,0.0796
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",3,like,0.0297
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",4,good,0.0258
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",5,me,0.0253
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",6,odd,0.0232
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",7,felt,0.0229
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",8,great,0.0197
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",9,fun,0.0167
sent_2,kazakh,"I visited Almaty last summer, it felt [MASK].",10,interesting,0.0129
sent_2,western,"I visited Vienna last summer, it felt [MASK].",1,it,0.0869
sent_2,western,"I visited Vienna last summer, it felt [MASK].",2,important,0.0793
sent_2,western,"I visited Vienna last summer, it felt [MASK].",3,me,0.0409
sent_2,western,"I visited Vienna last summer, it felt [MASK].",4,like,0.0322
sent_2,western,"I visited Vienna last summer, it felt [MASK].",5,good,0.0242
sent_2,western,"I visited Vienna last summer, it felt [MASK].",6,positive,0.0204
sent_2,western,"I visited Vienna last summer, it felt [MASK].",7,felt,0.0184
sent_2,western,"I visited Vienna last summer, it felt [MASK].",8,odd,0.0167
sent_2,western,"I visited Vienna last summer, it felt [MASK].",9,interesting,0.0158
sent_2,western,"I visited Vienna last summer, it felt [MASK].",10,great,0.0153
sent_3,kazakh,"I read a Kazakh novel last week, it left me feeling [MASK].",1,it,0.0533
sent_3,kazakh,"I read a Kazakh novel last week, it left me feeling [MASK].",2,sad,0.0522
sent_3,kazakh,"I read a Kazakh novel last week, it left me feeling [MASK].",3,sick,0.0491
sent_3,kazakh,"I read a Kazakh novel last week, it left me feeling [MASK].",4,good,0.0458
sent_3,kazakh,"I read a Kazakh novel last week, it left me feeling [MASK].",5,emotional,0.0279
sent_3,kazakh,"I read a Kazakh novel last week, it left me feeling [MASK].",6,upset,0.0276
